Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_52_P406828,Dkc1,NM_001030307,0.5863383,8.322,8.642,8.159,7.995,8.324,8.274
A_52_P29610,Ttpa,NM_015767,0.5863565,7.722,8.208,7.418,7.63,8.274,8.494
A_51_P128725,Rbak,NM_021326,0.5863959,7.28,7.49,6.868,7.078,6.912,7.071
A_51_P259774,Slc37a2,NM_020258,0.5863959,7.178,7.666,7.434,7.166,7.278,7.371
A_51_P337974,Myoz3,AF480442,0.5863959,7.328,8.539,7.496,7.564,7.439,7.156
A_51_P474496,Col6a1,NM_009933,0.5863959,7.861,8.124,9.179,8.366,7.692,7.715
A_52_P205055,,,0.5863959,10.449,10.492,10.509,9.683,10.499,10.461
A_52_P222073,Ackr2,NM_021609,0.5863959,8.583,9.121,8.47,9.536,6.965,7.047
A_52_P454394,Arid3b,NM_019689,0.5863959,10.756,11.126,10.74,10.39,12.081,11.77
A_52_P637829,Ssfa2,NM_080558,0.5863959,10.212,10.53,9.748,9.933,9.966,9.901
A_52_P686344,Ttll4,NM_001014974,0.5863959,6.921,6.787,6.861,6.582,7.634,7.3
A_51_P331424,Dnaic1,NM_175138,0.5864096,9.179,8.905,9.096,9.053,9.57,9.11
A_52_P676461,Lpgat1,NM_001134829,0.5864096,11.899,12.376,11.515,11.508,11.596,11.865
A_52_P193555,Trp73,NM_011642,0.5865243,8.785,9.267,9.088,9.053,9.617,9.148
A_51_P248441,Ube2g2,NM_019803,0.5866046,7.757,7.669,8.062,7.685,8.401,8.129
A_51_P269953,Lsm14b,NM_177727,0.5866046,8.259,8.203,8.138,7.753,9.042,9.189
A_51_P282404,Add1,NM_013457,0.5866046,12.955,12.793,12.735,11.966,12.893,12.735
A_52_P137293,Stradb,BC038492,0.5866046,6.735,6.87,6.52,6.595,6.961,7.151
A_52_P138090,Nr3c1,NM_008173,0.5866046,11.949,12.121,11.9,11.974,12.147,12.106
A_52_P412109,Rex2,NM_001177767,0.5866046,8.934,9.372,8.465,9.227,7.743,8.266
A_51_P211171,Haao,AK002608,0.5866123,6.441,6.861,6.775,6.688,6.891,6.956
A_52_P656634,Rpn1,NM_133933,0.5866648,6.705,6.928,7.034,7.097,6.912,6.993
A_51_P215975,Chrd,NM_009893,0.5866651,8.419,8.408,8.26,7.841,8.541,8.061
A_52_P244463,D16Ertd472e,NM_001252438,0.5866738,10.338,10.473,10.8,10.595,9.898,10.371
A_52_P592749,Taf9b,NM_001001176,0.5866738,8.399,8.056,8.719,8.949,8.553,8.423
A_52_P651235,Hist1h2ai,NM_178182,0.5866972,8.593,7.696,9.214,9.323,8.792,8.819
A_51_P256510,Gtpbp1,NM_013818,0.5869064,7.13,6.845,7.08,6.877,7.439,7.32
A_51_P465988,Ganc,NM_172672,0.5869064,6.969,6.713,7.257,6.654,7.705,7.773
A_52_P229320,Rptor,NM_028898,0.5869064,11.724,12.274,12.644,12.112,12.741,12.858
A_52_P344704,Mark3,NM_022801,0.5869064,10.943,10.859,10.885,10.348,10.826,10.952
A_52_P467545,Lrrc4b,NM_198250,0.5869064,10.688,10.067,9.835,8.926,10.385,9.786
A_52_P667177,Cops6,NM_012002,0.5869064,13.403,12.695,13.481,13.163,13.623,13.704
A_52_P676406,Cdc37l1,NM_025950,0.5869064,11.272,10.721,11.281,10.838,11.67,11.877
A_52_P41985,Rnps1,NM_009070,0.5869516,10.145,10.348,10.279,10.383,9.979,9.952
A_52_P563942,Fbxw5,NM_013908,0.5870013,10.551,9.386,10.848,10.058,11.266,11.282
